	term	domain	category	sense	AR	DC	en	es	fr	id	vrefs
2727	מִדְיָן	PN	person		False	False	Midian	Micaías	Mehétavéel	Mehuman	['GEN 25:2', 'GEN 25:4', 'GEN 36:35', 'EXO 2:15', 'EXO 2:16', 'EXO 3:1', 'EXO 4:19', 'EXO 18:1', 'NUM 22:4', 'NUM 22:7', 'NUM 25:15', 'NUM 25:18', 'NUM 31:3', 'NUM 31:7', 'NUM 31:8', 'NUM 31:9', 'JOS 13:21', 'JDG 6:1', 'JDG 6:2', 'JDG 6:3', 'JDG 6:6', 'JDG 6:7', 'JDG 6:11', 'JDG 6:13', 'JDG 6:14', 'JDG 6:16', 'JDG 6:33', 'JDG 7:1', 'JDG 7:2', 'JDG 7:7', 'JDG 7:8', 'JDG 7:12', 'JDG 7:13', 'JDG 7:14', 'JDG 7:15', 'JDG 7:23', 'JDG 7:24', 'JDG 7:25', 'JDG 8:1', 'JDG 8:3', 'JDG 8:5', 'JDG 8:12', 'JDG 8:22', 'JDG 8:26', 'JDG 8:28', 'JDG 9:17', '1KI 11:18', '1CH 1:32', '1CH 1:33', '1CH 1:46', 'PSA 83:11', 'ISA 9:2', 'ISA 10:26', 'ISA 60:6', 'HAB 3:7']
2728	מִדְיָנִי	PN	group		False	False	Midianite	Micaías	Mehétavéel	Mehetabeel	['GEN 37:28', 'GEN 37:36', 'NUM 10:29', 'NUM 25:6', 'NUM 25:14', 'NUM 25:15', 'NUM 25:17', 'NUM 31:2']
2729	מַדְמֵן	PN	locale		False	False	Madmen	Micaías	Mahalalel	Mehetabeel	['JER 48:2']
2730	מַדְמַנָּה	PN	settlement		False	False	Madmannah	Micaías	Mahalalel	Mahalaleel	['JOS 15:31', '1CH 2:49']
2731	מַדְמֵנָה	PN	settlement		False	False	Madmenah	Micaías	Maher — Shalal — Hash — Baz — A Prompt — Butin — Proche — Pillage	Mahalaleel	['ISA 10:31']
2732	מְדָן	PN	person		False	False	Medan	Micaías	Mahraï	Maher-Syalal	['GEN 25:2', '1CH 1:32']
2733	מְהוּמָן	PN	person		False	False	Mehuman	Mical	Moab	Maharai	['EST 1:10']
2734	מְהֵיטַבְאֵל	PN	person	1	False	False	Mehetabel	Mijamín	Moabite	Moab	['GEN 36:39', '1CH 1:50']
2735	מְהֵיטַבְאֵל	PN	person	2	False	False	Mehetabel	Mijamín	poteau en bois pour porter les objets lourds	Moab	['NEH 6:10']
2736	מַהֲלַלְאֵל	PN	person	1	False	False	Mahalalel	Mijamín	joug	kuk	['GEN 5:12', 'GEN 5:13', 'GEN 5:15', 'GEN 5:16', 'GEN 5:17', '1CH 1:2']
2737	מַהֲלַלְאֵל	PN	person	2	False	False	Mahalalel	clase	Molada	kuk	['NEH 11:4']
2738	מַהֵר	PN	person		False	False	Maher-Shalal-Hash-Baz	Mefáat	progéniture	menyunat	['ISA 8:1', 'ISA 8:3']
2739	מַהְרַי	PN	person		False	False	Maharai	Mesá	Molid	menyunat	['2SA 23:28', '1CH 11:30', '1CH 27:13']
