	vrefs
96	['EXO 15:10', '1SA 4:8', 'PSA 8:3', 'PSA 8:10', 'PSA 16:3', 'PSA 76:6', 'PSA 93:4', 'PSA 93:4', 'PSA 136:18', 'ISA 10:34', 'ISA 33:21', 'ISA 33:21', 'EZK 17:23', 'EZK 32:18', 'ZEC 11:2']
97	['JDG 5:13', 'JDG 5:25', '2CH 23:20', 'NEH 3:5', 'NEH 10:31', 'JER 14:3', 'JER 25:34', 'JER 25:35', 'JER 25:36', 'JER 30:21', 'NAM 2:7', 'NAM 3:18']
98	['EST 9:8']
99	['EXO 25:5', 'EXO 26:14', 'EXO 35:7', 'EXO 35:23', 'EXO 36:19', 'EXO 39:34']
100	['GEN 3:17', 'GEN 3:21', 'GEN 4:25', 'GEN 5:1', 'GEN 5:2', 'GEN 5:3', 'GEN 5:4', 'GEN 5:5', '1CH 1:1', 'JOB 31:33', 'HOS 6:7']
101	['JOS 3:16']
102	['GEN 1:26', 'GEN 1:27', 'GEN 2:5', 'GEN 2:7', 'GEN 2:7', 'GEN 2:8', 'GEN 2:15', 'GEN 2:16', 'GEN 2:18', 'GEN 2:19', 'GEN 2:19', 'GEN 2:20', 'GEN 2:21', 'GEN 2:22', 'GEN 2:22', 'GEN 2:23', 'GEN 2:25', 'GEN 3:8', 'GEN 3:9', 'GEN 3:12', 'GEN 3:20', 'GEN 3:22', 'GEN 3:24', 'GEN 4:1', 'GEN 5:1', 'GEN 5:1', 'GEN 6:1', 'GEN 6:2', 'GEN 6:3', 'GEN 6:4', 'GEN 6:5', 'GEN 6:6', 'GEN 6:7', 'GEN 6:7', 'GEN 7:21', 'GEN 7:23', 'GEN 8:21', 'GEN 8:21', 'GEN 9:5', 'GEN 9:5', 'GEN 9:6', 'GEN 9:6', 'GEN 9:6', 'GEN 11:5', 'GEN 16:12', 'EXO 4:11', 'EXO 8:9', 'EXO 8:10', 'EXO 9:9', 'EXO 9:10', 'EXO 9:19', 'EXO 9:22', 'EXO 9:25', 'EXO 12:12', 'EXO 13:2', 'EXO 13:13', 'EXO 13:15', 'EXO 30:32', 'EXO 33:20']
103	['EXO 28:17', 'EXO 39:10', 'EZK 28:13']
104	['GEN 10:19', 'GEN 14:2', 'GEN 14:8', 'DEU 29:21', 'HOS 11:8']
105	['JOS 19:36']
106	['JOS 19:33']
107	['JOS 15:7', 'JOS 18:17']
108	['EST 1:14']
109	['EZR 2:59']
