	vrefs
110	['GEN 15:2', 'GEN 15:8', 'GEN 18:3', 'GEN 18:27', 'GEN 18:30', 'GEN 18:31', 'GEN 18:32', 'GEN 19:18', 'GEN 20:4', 'EXO 4:10', 'EXO 4:13', 'EXO 5:22', 'EXO 15:17', 'EXO 34:9', 'EXO 34:9', 'NUM 14:17', 'DEU 3:24', 'DEU 9:26', 'JOS 7:7', 'JOS 7:8', 'JDG 6:15', 'JDG 6:22', 'JDG 13:8', 'JDG 16:28', '2SA 7:18', '2SA 7:19', '2SA 7:19', '2SA 7:20', '2SA 7:22', '2SA 7:28', '2SA 7:29', '1KI 2:26', '1KI 3:10', '1KI 3:15', '1KI 8:53', '1KI 22:6', '2KI 7:6', '2KI 19:23', 'EZR 10:3', 'NEH 1:11', 'NEH 4:2', 'JOB 28:28', 'PSA 2:4', 'PSA 16:2', 'PSA 22:32', 'PSA 30:10', 'PSA 35:17', 'PSA 35:22', 'PSA 35:23', 'PSA 37:13', 'PSA 38:11', 'PSA 38:17', 'PSA 38:23', 'PSA 39:9', 'PSA 40:18', 'PSA 44:25', 'PSA 51:19', 'PSA 54:8', 'PSA 55:11', 'PSA 57:11', 'PSA 59:13', 'PSA 62:13', 'PSA 66:18', 'PSA 68:13', 'PSA 68:19', 'PSA 68:21', 'PSA 68:22', 'PSA 68:24', 'PSA 68:34', 'PSA 69:8', 'PSA 71:5', 'PSA 71:16', 'PSA 73:20', 'PSA 73:28', 'PSA 77:4', 'PSA 77:9', 'PSA 78:65', 'PSA 79:12', 'PSA 86:3', 'PSA 86:4', 'PSA 86:5', 'PSA 86:8', 'PSA 86:9', 'PSA 86:12', 'PSA 86:15', 'PSA 89:51', 'PSA 89:52', 'PSA 90:1', 'PSA 90:17', 'PSA 109:21', 'PSA 110:5', 'PSA 130:2', 'PSA 130:3', 'PSA 130:6', 'PSA 140:9', 'PSA 141:8', 'ISA 3:15', 'ISA 3:17', 'ISA 3:18', 'ISA 4:4', 'ISA 6:1', 'ISA 6:8', 'ISA 6:11', 'ISA 7:7', 'ISA 7:14', 'ISA 7:20', 'ISA 8:7', 'ISA 9:6', 'ISA 9:15', 'ISA 10:12', 'ISA 10:23', 'ISA 10:24', 'ISA 11:11', 'ISA 21:6', 'ISA 21:8', 'ISA 21:16', 'ISA 22:5', 'ISA 22:12', 'ISA 22:14', 'ISA 22:15', 'ISA 25:8', 'ISA 28:2', 'ISA 28:16', 'ISA 28:22', 'ISA 29:13', 'ISA 30:15', 'ISA 30:20', 'ISA 37:24', 'ISA 38:14', 'ISA 38:16', 'ISA 40:10', 'ISA 48:16', 'ISA 49:14', 'ISA 49:22', 'ISA 50:4', 'ISA 50:5', 'ISA 50:7', 'ISA 50:9', 'ISA 52:4', 'ISA 56:8', 'ISA 61:1', 'ISA 61:11', 'ISA 65:13', 'ISA 65:15', 'JER 1:6', 'JER 2:19', 'JER 2:22', 'JER 4:10', 'JER 7:20', 'JER 14:13', 'JER 32:17', 'JER 32:25', 'JER 44:26', 'JER 46:10', 'JER 46:10', 'JER 49:5', 'JER 50:25', 'JER 50:31', 'LAM 1:14', 'LAM 1:15', 'LAM 1:15', 'LAM 2:1', 'LAM 2:2', 'LAM 2:5', 'LAM 2:7', 'LAM 2:18', 'LAM 2:19', 'LAM 2:20', 'LAM 3:31', 'LAM 3:36', 'LAM 3:37', 'LAM 3:58', 'EZK 2:4', 'EZK 3:11', 'EZK 3:27', 'EZK 4:14', 'EZK 5:5', 'EZK 5:7', 'EZK 5:8', 'EZK 5:11', 'EZK 6:3', 'EZK 6:3', 'EZK 6:11', 'EZK 7:2', 'EZK 7:5', 'EZK 8:1', 'EZK 9:8', 'EZK 11:7', 'EZK 11:8', 'EZK 11:13', 'EZK 11:16', 'EZK 11:17', 'EZK 11:21', 'EZK 12:10', 'EZK 12:19', 'EZK 12:23', 'EZK 12:25', 'EZK 12:28', 'EZK 12:28', 'EZK 13:3', 'EZK 13:8', 'EZK 13:8', 'EZK 13:9', 'EZK 13:13', 'EZK 13:16', 'EZK 13:18', 'EZK 13:20', 'EZK 14:4', 'EZK 14:6', 'EZK 14:11', 'EZK 14:14', 'EZK 14:16', 'EZK 14:18', 'EZK 14:20', 'EZK 14:21', 'EZK 14:23', 'EZK 15:6', 'EZK 15:8', 'EZK 16:3', 'EZK 16:8', 'EZK 16:14', 'EZK 16:19', 'EZK 16:23', 'EZK 16:30', 'EZK 16:36', 'EZK 16:43', 'EZK 16:48', 'EZK 16:59', 'EZK 16:63', 'EZK 17:3', 'EZK 17:9', 'EZK 17:16', 'EZK 17:19', 'EZK 17:22', 'EZK 18:3', 'EZK 18:9', 'EZK 18:23', 'EZK 18:25', 'EZK 18:29', 'EZK 18:30', 'EZK 18:32', 'EZK 20:3', 'EZK 20:3', 'EZK 20:5', 'EZK 20:27', 'EZK 20:30', 'EZK 20:31', 'EZK 20:33', 'EZK 20:36', 'EZK 20:39', 'EZK 20:40', 'EZK 20:44', 'EZK 21:8', 'EZK 21:10', 'EZK 21:17', 'EZK 21:19', 'EZK 21:23', 'EZK 21:34', 'EZK 21:36', 'EZK 21:33', 'EZK 22:3', 'EZK 22:12', 'EZK 22:19', 'EZK 22:28', 'EZK 22:31', 'EZK 23:22', 'EZK 23:28', 'EZK 23:32', 'EZK 23:34', 'EZK 23:35', 'EZK 23:46', 'EZK 23:49', 'EZK 24:3', 'EZK 24:6', 'EZK 24:9', 'EZK 24:14', 'EZK 24:21', 'EZK 24:24', 'EZK 25:3', 'EZK 25:3', 'EZK 25:6', 'EZK 25:8', 'EZK 25:12', 'EZK 25:13', 'EZK 25:14', 'EZK 25:15', 'EZK 25:16', 'EZK 26:3', 'EZK 26:5', 'EZK 26:7', 'EZK 26:14', 'EZK 26:15', 'EZK 26:19', 'EZK 26:21', 'EZK 27:3', 'EZK 28:2', 'EZK 28:6', 'EZK 28:10', 'EZK 28:12', 'EZK 28:22', 'EZK 28:24', 'EZK 28:25', 'EZK 29:3', 'EZK 29:8', 'EZK 29:13', 'EZK 29:16', 'EZK 29:19', 'EZK 29:20', 'EZK 30:2', 'EZK 30:6', 'EZK 30:10', 'EZK 30:13', 'EZK 30:22', 'EZK 31:10', 'EZK 31:15', 'EZK 31:18', 'EZK 32:3', 'EZK 32:8', 'EZK 32:11', 'EZK 32:14', 'EZK 32:16', 'EZK 32:31', 'EZK 32:32', 'EZK 33:11', 'EZK 33:17', 'EZK 33:20', 'EZK 33:25', 'EZK 33:27', 'EZK 34:2', 'EZK 34:8', 'EZK 34:10', 'EZK 34:11', 'EZK 34:15', 'EZK 34:17', 'EZK 34:20', 'EZK 34:30', 'EZK 34:31', 'EZK 35:3', 'EZK 35:6', 'EZK 35:11', 'EZK 35:14', 'EZK 36:2', 'EZK 36:3', 'EZK 36:4', 'EZK 36:4', 'EZK 36:5', 'EZK 36:6', 'EZK 36:7', 'EZK 36:13', 'EZK 36:14', 'EZK 36:15', 'EZK 36:22', 'EZK 36:23', 'EZK 36:32', 'EZK 36:33', 'EZK 36:37', 'EZK 37:3', 'EZK 37:5', 'EZK 37:9', 'EZK 37:12', 'EZK 37:19', 'EZK 37:21', 'EZK 38:3', 'EZK 38:10', 'EZK 38:14', 'EZK 38:17', 'EZK 38:18', 'EZK 38:21', 'EZK 39:1', 'EZK 39:5', 'EZK 39:8', 'EZK 39:10', 'EZK 39:13', 'EZK 39:17', 'EZK 39:20', 'EZK 39:25', 'EZK 39:29', 'EZK 43:18', 'EZK 43:19', 'EZK 43:27', 'EZK 44:6', 'EZK 44:9', 'EZK 44:12', 'EZK 44:15', 'EZK 44:27', 'EZK 45:9', 'EZK 45:9', 'EZK 45:15', 'EZK 45:18', 'EZK 46:1', 'EZK 46:16', 'EZK 47:13', 'EZK 47:23', 'EZK 48:29', 'DAN 1:2', 'DAN 9:3', 'DAN 9:4', 'DAN 9:7', 'DAN 9:9', 'DAN 9:15', 'DAN 9:16', 'DAN 9:17', 'DAN 9:19', 'DAN 9:19', 'DAN 9:19', 'AMO 1:8', 'AMO 3:7', 'AMO 3:8', 'AMO 3:11', 'AMO 3:13', 'AMO 4:2', 'AMO 4:5', 'AMO 5:3', 'AMO 5:16', 'AMO 6:8', 'AMO 7:1', 'AMO 7:2', 'AMO 7:4', 'AMO 7:4', 'AMO 7:5', 'AMO 7:6', 'AMO 7:7', 'AMO 7:8', 'AMO 8:1', 'AMO 8:3', 'AMO 8:9', 'AMO 8:11', 'AMO 9:1', 'AMO 9:5', 'AMO 9:8', 'OBA 1:1', 'MIC 1:2', 'MIC 1:2', 'HAB 3:19', 'ZEP 1:7', 'ZEC 9:4', 'ZEC 9:14', 'MAL 1:12', 'MAL 1:14']
111	['JDG 1:5', 'JDG 1:6', 'JDG 1:7']
112	['JOS 10:1', 'JOS 10:3']
113	['2SA 3:4', '1KI 1:5', '1KI 1:7', '1KI 1:18', '1KI 2:28', '1CH 3:2']
114	['NEH 10:18']
115	['1KI 1:8', '1KI 1:9', '1KI 1:11', '1KI 1:13', '1KI 1:24', '1KI 1:25', '1KI 1:41', '1KI 1:42', '1KI 1:43', '1KI 1:49', '1KI 1:50', '1KI 1:51', '1KI 2:13', '1KI 2:19', '1KI 2:21', '1KI 2:22', '1KI 2:23', '1KI 2:24']
116	['2CH 17:8']
117	['EZR 2:13', 'EZR 8:13', 'NEH 7:18']
118	['1KI 4:6', '1KI 5:28']
119	['JOS 15:3']
120	['1CH 8:3']
121	['2SA 20:24', '1KI 12:18']
122	['2KI 17:31']
123	['2KI 19:37', 'ISA 37:38']
124	['NUM 21:33', 'DEU 1:4', 'DEU 3:1', 'DEU 3:10', 'JOS 12:4', 'JOS 13:12', 'JOS 13:31']
125	['JOS 19:37']
126	['GEN 22:2', 'GEN 24:67', 'GEN 25:28', 'GEN 25:28', 'GEN 27:4', 'GEN 27:9', 'GEN 27:14', 'GEN 29:18', 'GEN 29:30', 'GEN 29:32', 'GEN 34:3', 'GEN 37:3', 'GEN 37:4', 'GEN 44:20', 'EXO 20:6', 'EXO 21:5', 'LEV 19:18', 'LEV 19:34', 'DEU 4:37', 'DEU 5:10', 'DEU 6:5', 'DEU 7:9', 'DEU 7:13', 'DEU 10:12', 'DEU 10:15', 'DEU 10:18', 'DEU 10:19', 'DEU 11:1', 'DEU 11:13', 'DEU 11:22', 'DEU 13:5', 'DEU 15:16', 'DEU 19:9', 'DEU 21:15', 'DEU 21:15', 'DEU 21:16', 'DEU 23:7', 'DEU 30:6', 'DEU 30:16', 'DEU 30:20', 'JOS 22:5', 'JOS 23:11', 'JDG 5:31', 'JDG 14:16', 'JDG 16:4', 'JDG 16:15', 'RUT 4:15', '1SA 1:5', '1SA 16:21', '1SA 18:1', '1SA 18:1', '1SA 18:16', '1SA 18:20', '1SA 18:22', '1SA 18:28', '1SA 20:17', '2SA 1:23', '2SA 12:24', '2SA 13:1', '2SA 13:4', '2SA 13:15', '2SA 19:8', '2SA 19:8', '1KI 3:3', '1KI 5:29', '1KI 10:9', '1KI 11:1', '1KI 11:2', '2CH 2:9', '2CH 9:8', '2CH 11:21', '2CH 19:2', '2CH 20:7', '2CH 26:10', 'NEH 1:5', 'NEH 13:26', 'EST 2:17', 'EST 5:10', 'EST 5:14', 'EST 6:13', 'JOB 19:19', 'PSA 4:4', 'PSA 5:13', 'PSA 11:5', 'PSA 11:7', 'PSA 26:8', 'PSA 31:25', 'PSA 33:5', 'PSA 34:14', 'PSA 37:28', 'PSA 38:13', 'PSA 40:18', 'PSA 45:9', 'PSA 47:6', 'PSA 52:7', 'PSA 52:8', 'PSA 69:37', 'PSA 70:6', 'PSA 78:68', 'PSA 87:2', 'PSA 88:19', 'PSA 97:10', 'PSA 99:4', 'PSA 109:17', 'PSA 116:1', 'PSA 119:47', 'PSA 119:48', 'PSA 119:97', 'PSA 119:113', 'PSA 119:119', 'PSA 119:127', 'PSA 119:132', 'PSA 119:140', 'PSA 119:159', 'PSA 119:163', 'PSA 119:165', 'PSA 119:167', 'PSA 122:6', 'PSA 145:20', 'PSA 146:8', 'PRO 1:22', 'PRO 3:12', 'PRO 4:6', 'PRO 8:17', 'PRO 8:17', 'PRO 8:17', 'PRO 8:21', 'PRO 8:36', 'PRO 9:8', 'PRO 12:1', 'PRO 12:1', 'PRO 13:24', 'PRO 14:20', 'PRO 15:9', 'PRO 15:12', 'PRO 16:13', 'PRO 17:17', 'PRO 17:19', 'PRO 17:19', 'PRO 18:21', 'PRO 18:24', 'PRO 19:8', 'PRO 20:13', 'PRO 21:17', 'PRO 21:17', 'PRO 22:11', 'PRO 27:6', 'PRO 29:3', 'ECC 3:8', 'ECC 5:8', 'ECC 5:8', 'ECC 9:9', 'SNG 1:3', 'SNG 1:4', 'SNG 1:7', 'SNG 3:1', 'SNG 3:2', 'SNG 3:3', 'SNG 3:4', 'ISA 1:23', 'ISA 41:8', 'ISA 43:4', 'ISA 48:14', 'ISA 56:6', 'ISA 56:10', 'ISA 57:8', 'ISA 61:8', 'ISA 66:10', 'JER 2:25', 'JER 5:31', 'JER 8:2', 'JER 14:10', 'JER 20:4', 'JER 20:6', 'JER 22:20', 'JER 22:22', 'JER 30:14', 'JER 31:3', 'LAM 1:2', 'LAM 1:19', 'EZK 16:33', 'EZK 16:36', 'EZK 16:37', 'EZK 16:37', 'EZK 23:5', 'EZK 23:9', 'EZK 23:22', 'DAN 9:4', 'HOS 2:9', 'HOS 2:11', 'HOS 2:14', 'HOS 2:16', 'HOS 2:17', 'HOS 3:1', 'HOS 3:1', 'HOS 3:1', 'HOS 3:1', 'HOS 4:18', 'HOS 4:18', 'HOS 9:1', 'HOS 9:10', 'HOS 9:15', 'HOS 10:11', 'HOS 11:1', 'HOS 12:9', 'HOS 14:6', 'AMO 4:5', 'AMO 5:15', 'MIC 3:2', 'MIC 6:8', 'ZEC 8:17', 'ZEC 8:19', 'ZEC 13:6', 'MAL 1:2', 'MAL 1:2', 'MAL 1:2', 'MAL 2:11']
127	['GEN 29:20', 'DEU 7:8', '1SA 18:3', '1SA 20:17', '1SA 20:17', '2SA 1:26', '2SA 1:26', '2SA 13:15', 'PSA 109:4', 'PSA 109:5', 'PRO 5:19', 'PRO 10:12', 'PRO 15:17', 'PRO 17:9', 'PRO 27:5', 'ECC 9:1', 'ECC 9:6', 'SNG 2:4', 'SNG 2:5', 'SNG 2:7', 'SNG 3:5', 'SNG 3:10', 'SNG 5:8', 'SNG 7:8', 'SNG 8:4', 'SNG 8:6', 'SNG 8:7', 'SNG 8:7', 'ISA 63:9', 'JER 2:2', 'JER 2:33', 'JER 31:3', 'HOS 11:4', 'ZEP 3:17']
128	['GEN 46:10', 'EXO 6:15']
129	['EZR 8:15', 'EZR 8:21', 'EZR 8:31']
130	['JDG 3:15', 'JDG 3:16', 'JDG 3:20', 'JDG 3:20', 'JDG 3:21', 'JDG 3:23', 'JDG 3:26', 'JDG 4:1']
131	['1CH 7:10']
132	['1CH 3:20']
133	['EXO 27:21', 'EXO 28:43', 'EXO 29:4', 'EXO 29:10', 'EXO 29:11', 'EXO 29:30', 'EXO 29:32', 'EXO 29:42', 'EXO 29:44', 'EXO 30:16', 'EXO 30:18', 'EXO 30:20', 'EXO 30:26', 'EXO 30:36', 'EXO 31:7', 'EXO 33:7', 'EXO 33:7', 'EXO 35:21', 'EXO 38:8', 'EXO 38:30', 'EXO 39:32', 'EXO 39:40', 'EXO 40:2', 'EXO 40:6', 'EXO 40:7', 'EXO 40:12', 'EXO 40:22', 'EXO 40:24', 'EXO 40:26', 'EXO 40:29', 'EXO 40:30', 'EXO 40:32', 'EXO 40:34', 'EXO 40:35', 'LEV 1:1', 'LEV 1:3', 'LEV 1:5', 'LEV 3:2', 'LEV 3:8', 'LEV 3:13', 'LEV 4:4', 'LEV 4:5', 'LEV 4:7', 'LEV 4:7', 'LEV 4:14', 'LEV 4:16', 'LEV 4:18', 'LEV 4:18', 'LEV 6:2', 'LEV 6:12', 'LEV 6:16', 'LEV 8:3', 'LEV 8:4', 'LEV 8:31', 'LEV 8:33', 'LEV 8:35', 'LEV 9:5', 'LEV 9:23', 'LEV 10:7', 'LEV 10:9', 'LEV 12:6', 'LEV 14:11', 'LEV 14:23', 'LEV 15:14', 'LEV 15:29', 'LEV 16:7', 'LEV 16:16', 'LEV 16:17', 'LEV 16:20', 'LEV 16:23', 'LEV 16:33', 'LEV 17:4', 'LEV 17:5', 'LEV 17:6', 'LEV 17:9', 'LEV 19:21', 'LEV 24:3', 'NUM 1:1', 'NUM 2:2', 'NUM 2:17', 'NUM 3:7', 'NUM 3:8', 'NUM 3:25', 'NUM 3:25', 'NUM 3:38', 'NUM 4:3', 'NUM 4:4', 'NUM 4:15', 'NUM 4:23', 'NUM 4:25', 'NUM 4:25', 'NUM 4:28', 'NUM 4:30', 'NUM 4:31', 'NUM 4:33', 'NUM 4:35', 'NUM 4:37', 'NUM 4:39', 'NUM 4:41', 'NUM 4:43', 'NUM 4:47', 'NUM 6:10', 'NUM 6:13', 'NUM 6:18', 'NUM 7:5', 'NUM 7:89', 'NUM 8:9', 'NUM 8:15', 'NUM 8:19', 'NUM 8:22', 'NUM 8:26', 'NUM 10:3', 'NUM 11:16', 'NUM 12:4', 'NUM 14:10', 'NUM 16:18', 'NUM 16:19', 'NUM 17:22', 'NUM 17:23', 'NUM 17:15', 'NUM 17:19', 'NUM 18:4', 'NUM 18:6', 'NUM 18:21', 'NUM 18:22', 'NUM 18:23', 'NUM 18:31', 'NUM 19:4', 'NUM 20:6', 'NUM 25:6', 'NUM 27:2', 'NUM 31:54', 'DEU 31:14', 'DEU 31:14', 'JOS 18:1', 'JOS 19:51', '1SA 2:22', '1KI 8:4', '1CH 6:2', '1CH 9:21', '1CH 23:32', '2CH 1:3', '2CH 1:6', '2CH 1:13', '2CH 5:5']
134	['EZK 23:4', 'EZK 23:4', 'EZK 23:5', 'EZK 23:36', 'EZK 23:44']
135	['PSA 45:10', 'SNG 4:14']
136	['EXO 31:6', 'EXO 35:34', 'EXO 36:1', 'EXO 36:2', 'EXO 38:23']
137	['EZK 23:4', 'EZK 23:4', 'EZK 23:11', 'EZK 23:22', 'EZK 23:36', 'EZK 23:44']
138	['GEN 36:2', 'GEN 36:5', 'GEN 36:14', 'GEN 36:18', 'GEN 36:18', 'GEN 36:25']
139	['GEN 36:41', '1CH 1:52']
140	['NUM 24:6', 'PRO 7:17']
141	['EXO 4:14', 'EXO 4:27', 'EXO 4:28', 'EXO 4:29', 'EXO 4:30', 'EXO 5:1', 'EXO 5:4', 'EXO 5:20', 'EXO 6:13', 'EXO 6:20', 'EXO 6:23', 'EXO 6:25', 'EXO 6:26', 'EXO 6:27', 'EXO 7:1', 'EXO 7:2', 'EXO 7:6', 'EXO 7:7', 'EXO 7:8', 'EXO 7:9', 'EXO 7:10', 'EXO 7:10', 'EXO 7:12', 'EXO 7:19', 'EXO 7:20', 'EXO 7:26', 'EXO 7:27', 'EXO 7:29', 'EXO 8:4', 'EXO 8:8', 'EXO 8:9', 'EXO 8:17', 'EXO 9:8', 'EXO 9:27', 'EXO 10:3', 'EXO 10:8', 'EXO 10:16', 'EXO 11:10', 'EXO 12:1', 'EXO 12:28', 'EXO 12:31', 'EXO 12:43', 'EXO 12:50', 'EXO 15:20', 'EXO 16:2', 'EXO 16:6', 'EXO 16:9', 'EXO 16:10', 'EXO 16:33', 'EXO 16:34', 'EXO 17:10', 'EXO 17:12', 'EXO 18:12', 'EXO 19:24', 'EXO 24:1', 'EXO 24:9', 'EXO 24:14', 'EXO 27:21', 'EXO 28:1', 'EXO 28:1', 'EXO 28:1', 'EXO 28:2', 'EXO 28:3', 'EXO 28:4', 'EXO 28:12', 'EXO 28:29', 'EXO 28:30', 'EXO 28:30', 'EXO 28:35', 'EXO 28:38', 'EXO 28:38', 'EXO 28:40', 'EXO 28:41', 'EXO 28:43', 'EXO 29:4', 'EXO 29:5', 'EXO 29:9', 'EXO 29:9', 'EXO 29:10', 'EXO 29:15', 'EXO 29:19', 'EXO 29:20', 'EXO 29:21', 'EXO 29:24', 'EXO 29:26', 'EXO 29:27', 'EXO 29:28', 'EXO 29:29', 'EXO 29:32', 'EXO 29:35', 'EXO 29:44', 'EXO 30:7', 'EXO 30:8', 'EXO 30:10', 'EXO 30:19', 'EXO 30:30', 'EXO 31:10', 'EXO 32:1', 'EXO 32:2', 'EXO 32:3', 'EXO 32:5', 'EXO 32:5', 'EXO 32:21', 'EXO 32:22', 'EXO 32:25', 'EXO 32:35', 'EXO 34:30', 'EXO 34:31', 'EXO 35:19', 'EXO 38:21', 'EXO 39:1', 'EXO 39:27', 'EXO 39:41', 'EXO 40:12', 'EXO 40:13', 'EXO 40:31', 'LEV 1:5', 'LEV 1:7', 'LEV 1:8', 'LEV 1:11', 'LEV 2:2', 'LEV 2:3', 'LEV 2:10', 'LEV 3:2', 'LEV 3:5', 'LEV 3:8', 'LEV 3:13', 'LEV 5:21', 'LEV 5:26', 'LEV 6:2', 'LEV 6:4', 'LEV 6:6', 'LEV 6:11', 'LEV 7:10', 'LEV 7:31', 'LEV 7:33', 'LEV 7:34', 'LEV 7:35', 'LEV 8:2', 'LEV 8:6', 'LEV 8:12', 'LEV 8:13', 'LEV 8:14', 'LEV 8:18', 'LEV 8:22', 'LEV 8:23', 'LEV 8:24', 'LEV 8:27', 'LEV 8:30', 'LEV 8:30', 'LEV 8:31', 'LEV 8:31', 'LEV 8:36', 'LEV 9:1', 'LEV 9:2', 'LEV 9:7', 'LEV 9:8', 'LEV 9:9', 'LEV 9:12', 'LEV 9:18', 'LEV 9:21', 'LEV 9:22', 'LEV 9:23', 'LEV 10:1', 'LEV 10:3', 'LEV 10:3', 'LEV 10:4', 'LEV 10:6', 'LEV 10:8', 'LEV 10:12', 'LEV 10:16', 'LEV 10:19', 'LEV 11:1', 'LEV 13:1', 'LEV 13:2', 'LEV 14:33', 'LEV 15:1', 'LEV 16:1', 'LEV 16:2', 'LEV 16:3', 'LEV 16:6', 'LEV 16:8', 'LEV 16:9', 'LEV 16:11', 'LEV 16:21', 'LEV 16:23', 'LEV 17:2', 'LEV 21:1', 'LEV 21:17', 'LEV 21:21', 'LEV 21:24', 'LEV 22:2', 'LEV 22:4', 'LEV 22:18', 'LEV 24:3', 'LEV 24:9', 'NUM 1:3', 'NUM 1:17', 'NUM 1:44', 'NUM 2:1', 'NUM 3:1', 'NUM 3:2', 'NUM 3:3', 'NUM 3:4', 'NUM 3:6', 'NUM 3:9', 'NUM 3:10', 'NUM 3:32', 'NUM 3:38', 'NUM 3:39', 'NUM 3:48', 'NUM 3:51', 'NUM 4:1', 'NUM 4:5', 'NUM 4:15', 'NUM 4:16', 'NUM 4:17', 'NUM 4:19', 'NUM 4:27', 'NUM 4:28', 'NUM 4:33', 'NUM 4:34', 'NUM 4:37', 'NUM 4:41', 'NUM 4:45', 'NUM 4:46', 'NUM 6:23', 'NUM 7:8', 'NUM 8:2', 'NUM 8:3', 'NUM 8:11', 'NUM 8:13', 'NUM 8:19', 'NUM 8:20', 'NUM 8:21', 'NUM 8:21', 'NUM 8:22', 'NUM 9:6', 'NUM 10:8', 'NUM 12:1', 'NUM 12:4', 'NUM 12:5', 'NUM 12:10', 'NUM 12:11', 'NUM 13:26', 'NUM 14:2', 'NUM 14:5', 'NUM 14:26', 'NUM 15:33', 'NUM 16:3', 'NUM 16:11', 'NUM 16:16', 'NUM 16:17', 'NUM 16:18', 'NUM 16:20', 'NUM 17:17', 'NUM 17:20', 'NUM 17:21', 'NUM 17:22', 'NUM 17:23', 'NUM 17:26', 'NUM 17:27', 'NUM 17:15', 'NUM 17:18', 'NUM 17:21', 'NUM 17:23', 'NUM 17:25', 'NUM 18:1', 'NUM 18:8', 'NUM 18:20', 'NUM 18:28', 'NUM 19:1', 'NUM 20:2', 'NUM 20:6', 'NUM 20:8', 'NUM 20:10', 'NUM 20:12', 'NUM 20:23', 'NUM 20:24', 'NUM 20:25', 'NUM 20:26', 'NUM 20:26', 'NUM 20:28', 'NUM 20:28', 'NUM 20:29', 'NUM 20:29', 'NUM 25:7', 'NUM 25:11', 'NUM 26:1', 'NUM 26:9', 'NUM 26:59', 'NUM 26:60', 'NUM 26:64', 'NUM 27:13', 'NUM 33:1', 'NUM 33:38', 'NUM 33:39', 'DEU 9:20', 'DEU 9:20', 'DEU 10:6', 'DEU 32:50', 'JOS 21:4', 'JOS 21:10', 'JOS 21:13', 'JOS 21:19', 'JOS 24:5', 'JOS 24:33', 'JDG 20:28', '1SA 12:6', '1SA 12:8', '1CH 5:29', '1CH 5:29', '1CH 6:19', '1CH 6:20', '1CH 6:24', '1CH 6:27', '1CH 12:29', '1CH 15:4', '1CH 23:13', '1CH 23:13', '1CH 23:28', '1CH 23:32', '1CH 24:1', '1CH 24:1', '1CH 24:19', '1CH 24:31', '1CH 27:17', '2CH 13:9', '2CH 13:10', '2CH 26:18', '2CH 29:21', '2CH 31:19', '2CH 35:14', '2CH 35:14', 'EZR 7:5', 'NEH 10:40', 'NEH 12:47', 'PSA 77:21', 'PSA 99:6', 'PSA 105:26', 'PSA 106:16', 'PSA 115:10', 'PSA 115:12', 'PSA 118:3', 'PSA 133:2', 'PSA 135:19', 'MIC 6:4']
142	['EZR 10:34']
143	['LEV 19:31', 'LEV 20:6', 'LEV 20:27', 'DEU 18:11', '1SA 28:3', '1SA 28:7', '1SA 28:7', '1SA 28:8', '1SA 28:9', '2KI 21:6', '2KI 23:24', '1CH 10:13', '2CH 33:6', 'ISA 8:19', 'ISA 19:3', 'ISA 29:4']
144	['1CH 27:30']
145	['NEH 3:25']
146	['GEN 10:27', '1CH 1:21']
147	['NUM 31:8', 'JOS 13:21']
148	['JOB 5:2', 'JOB 5:3', 'PSA 107:17', 'PRO 1:7', 'PRO 7:22', 'PRO 10:8', 'PRO 10:10', 'PRO 10:14', 'PRO 10:21', 'PRO 11:29', 'PRO 12:15', 'PRO 12:16', 'PRO 14:3', 'PRO 14:9', 'PRO 15:5', 'PRO 16:22', 'PRO 17:28', 'PRO 20:3', 'PRO 24:7', 'PRO 27:3', 'PRO 27:22', 'PRO 29:9', 'ISA 19:11', 'ISA 35:8', 'JER 4:22', 'HOS 9:7']
149	['2KI 25:27', 'JER 52:31']
150	['DAN 8:2', 'DAN 8:16']
151	['ZEC 11:15']
152	['1CH 7:16', '1CH 7:17']
153	['1CH 8:39', '1CH 8:40']
154	['PSA 38:7', 'PSA 69:7', 'PRO 5:23', 'PRO 12:23', 'PRO 13:16', 'PRO 14:1', 'PRO 14:8', 'PRO 14:17', 'PRO 14:18', 'PRO 14:24', 'PRO 14:24', 'PRO 14:29', 'PRO 15:2', 'PRO 15:14', 'PRO 15:21', 'PRO 16:22', 'PRO 17:12', 'PRO 18:13', 'PRO 19:3', 'PRO 22:15', 'PRO 24:9', 'PRO 26:4', 'PRO 26:5', 'PRO 26:11', 'PRO 27:22']
155	['GEN 36:11', 'GEN 36:15', '1CH 1:36']
