	term	domain	category	sense	AR	DC	en	es	fr	id
140	אֲהָלִים	FL	trees; perfumes and spices		False	False	aloes	Obil	aloès	gaharu
141	אַהֲרֹן	PN	person		False	False	Aaron	Uzai	Aaron	Harun
142	אוּאֵל	PN	person		False	False	Uel	Uzal	Ouël	Uel
143	אוֹב	RI	paganism		False	False	spirit	Eví	outre	ahli nujum
144	אוֹבִיל	PN	person		False	False	Obil	tonto	Ovil	Obil
145	אוּזַי	PN	person		False	False	Uzai	Evil-merodac	Ouzaï	Uzai
146	אוּזָל	PN	person		False	False	Uzal	torpe	Ouzal	Uzal
147	אֱוִי	PN	person		False	False	Evi	Ulam	Ewi	Ewi
148	אֱוִיל	AT	wisdom, understanding		False	False	fool	Ulam	stupide	orang bodoh
149	אֱוִיל	PN	person		False	False	Evil-Merodach	necedad	Ewil-Mérodak	Ewil-Merodakh
150	אוּלַי	PN	nature		False	False	Ulai	Omar	Oulaï	sungai Ulai
151	אֱוִלִי	AT	wisdom, understanding		False	False	foolish	maldad	insensé	bodoh
152	אוּלָם	PN	person	1	False	False	Ulam	On	Oulam	Ulam
153	אוּלָם	PN	person	2	False	False	Ulam	On	Oulam	Ulam
154	אִוֶּלֶת	AT	wisdom, understanding		False	False	foolishness	Onó	folie	kebodohan
155	אוֹמָר	PN	person		False	False	Omar	Onam	Omar	Omar
156	אָוֶן	AT	morals and ethics		False	False	mischief	Onam	méchanceté	kenakalan
157	אוֹן	PN	settlement	1	False	False	On	Onán	One	On
158	אוֹן	PN	person	2	False	False	On	Ufaz	One	On
159	אוֹנוֹ	PN	settlement		False	False	Ono	Ofir	Ono	Ono
160	אוֹנָם	PN	person	1	False	False	Onam	Ur	Onam	Onam
161	אוֹנָם	PN	person	2	False	False	Onam	Ur	Onam	Onam
162	אוֹנָן	PN	person		False	False	Onan	Uri	Onân	Onan
163	אוּפָז	PN	area		False	False	Uphaz	Urí	Oufaz	Ufas
164	אוֹפִיר	PN	person		False	False	Ophir	Urí	Ofir	Ofir
165	אוֹפַן	RE	agriculture		False	False	cart wheel	Uriel	roue du chariot	roda gerobak
166	אוּר	PN	settlement	1	False	False	Ur	Uriel	Our	Ur-Kasdim
167	אוּר	PN	person	2	False	False	Ur	Urías	Our	Ur-Kasdim
168	אֲוֵרָה	RE	constructions; animal husbandry		False	False	stall	Urías	stalle	kandang hewan
169	אוּרִי	PN	person	1	False	False	Uri	Urías	Ouri	Uri
170	אוּרִי	PN	person	2	False	False	Uri	Urías	Ouri	Uri
171	אוּרִי	PN	person	3	False	False	Uri	Urías	Ouri	Uri
172	אוּרִיאֵל	PN	person	1	False	False	Uriel	señal	Ouriël	Uriel
173	אוּרִיאֵל	PN	person	2	False	False	Uriel	bandera	Ouriël	Uriel
174	אוּרִיָּה	PN	person	1	False	False	Uriah	señal	Urie	Uria
175	אוּרִיָּה	PN	person	2	False	False	Uriah	Esbai	Ouriya	Uria
